'101 Coffee Shop','http://www.the101coffeeshop.com/'
'Pasta Roma','http://www.pastaroma.com/'
'Pastina Trattoria','http://www.pastina.net/'
'Pat\'s','http://www.patskosher.com/'
'Patina','http://www.patinagroup.com/patina/'
'Patio Cafe','http://www.slhotel.com/'
'D\'Amore\'s Famous Pizza','http://www.damoresfamouspizza.com/'
'Pattaya','http://www.pattayathaila.com/'
'Patty\'s Gourmet Pizza Factory Outlet','http://www.pattyspizza.com/orders'
'Pecorino','http://www.pecorinorestaurant.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peet\'s Coffee & Tea','http://www.peets.com/'
'Peking','http://www.peking.com/'
'Peking Palace','http://www.thepekingpalace.com/'
'Peninsula','http://www.peninsula.com/roofgarden'
'Pepe\'s Tacos','http://pepestacosla.com/'
'Peppone','http://www.peppone.com/'
'Peru\'s Taste','http://www.perustaste.com/'
'Pescado Mojado','http://pescado-mojado.com/'
'Pescado Mojado Operations','http://pescado-mojado.com/'
'Petrelli\'s Steakhouse','http://www.georgepetrellisteaks.com/'
'Sam\'s Philly Steak','http://samphillysteak.com/'
'Philadelphia Steak & Hoagie','http://phillysteakandhoagie.com/'
'Philippe, The Original','http://www.philippes.com/'
'Philly West Bar & Grill','http://www.phillywestbarandgrill.com/'
'Pho So 1','http://phoso1.com'
'Phoenix Bakery','http://www.phoenixbakeryinc.com/'
'Phoenix Inn Chinese Cuisine','http://www.phoenixfoodboutique.com/'
'Piccolo Paradiso','http://giacominodrago.com/'
'Piccolo Venice','http://www.piccolovenice.com/'
'Pick Up Stix','http://www.pickupstix.com/'
'Pick Up Stix','http://www.pickupstix.com/'
'Pick Up Stix','http://pickupstix.com/'
'Pico Pica Rico','http://picopicarico.com/'
'Pig \'n Whistle','http://www.pignwhistlehollywood.com/'
'Piknic','http://www.piknic.us'
'Pimai It\'s Thai','http://www.pimaithai.com/'
'Pina Pizza House','http://www.pinapizzahouse.com/'
'Pink Pepper','http://www.pinkpepperrestaurant.com/'
'Pink Taco','http://www.pinktaco.com/'
'Pink\'s Hot Dogs','http://www.pinkshollywood.com/'
'Pinkberry','http://www.pinkberry.com/'
'Pinkberry','http://www.pinkberry.com/'
'Pinot Grill','http://www.patinagroup.com/restaurant.php?restaurants_id=49'
'Pipers','http://www.citycheers.com/fmi/xsl/citycheers/templates/one/index.xsl?id=6023'
'Pitfire Pizza','http://www.pitfirepizza.com/'
'Pitfire Pizza Company','http://www.pitfirepizza.com/'
'Pizza Cookery','http://www.thepizzacookery.com/'
'Pizza Cookery','http://www.pizzacookeryencino.com/'
'The Original Pizza Cookery','http://www.pizzacookery.com/'
'Big Mama\'s & Papa\'s Pizzeria','http://www.36pizza.com/'
'Pizza Guy','http://www.pizzaguystudiocity.com/'
'Pizza King','http://www.pizzaking3993.com/'
'Pizza Man','http://www.pizzamanreseda.com/'
'Big Mama\'s & Papa\'s Pizzeria','http://www.36pizza.com/'
'Pizza Moon','http://www.pizzamoon.com/'
'Pizza Next Door','http://www.pizzanextdoor.com/'
'Pizza Pauls','http://pizzapaul.homestead.com/'
'Pizza Plus','http://www.pizzaplusmenu.com/'
'Pizza Time','http://www.pizzatimedowney.com/'
'North End Pizzeria','http://www.northendmenu.com/'
'Pizzarito','http://www.pizzarito.com/'
'Pazzaz Sushi','http://pazzazsushi.com/'
'Pizzeria Mozza','http://www.pizzeriamozza.com/'
'Pizzicotto','http://www.pizzicottorestaurant.com/'
'Planet China','http://thaiklangdong.com/'
'Playa Las Tunas','http://playalastunasrestaurante.com/'
'Plum Tree Inn','http://www.plumtreeinn.com/'
'Pollo Land','http://pollolandla.com/'
'Polo Lounge','http://www.thebeverlyhillshotel.com/'
'Poquito Mas','http://www.poquitomas.com/'
'Poquito Mas','http://www.poquitomas.com/'
'Poquito Mas','http://www.poquitomas.com/'
'Poquito Mas','http://www.poquitomas.com/'
'Porta Via','http://www.portaviabh.com/'
'Prado','http://www.pradola.com/v2/'
'Prego Beverly Hills','http://www.pregoristoranti.com/'
'Premier Restaurant&Bar','http://www.restaurantpremier.com/'
'Primitivo Wine Bistro','http://www.primitivowinebistro.com/'
'Primo\'s Westdale Doughnuts','http://www.primosdonuts.com/'
'Providence','http://www.providencela.com/'
'Puran\'s','http://www.puransrestaurant.com/'
'Petrossian Cafe','http://www.petrossian.com/restaurant-west-hollywood-restaurant-and-boutique-7.html'
'Quality Food & Beverage','http://www.qualityfoodandbeverage.com/'
'The Rack','http://www.therack.us'
'Rainbow Bar & Grill','http://www.rainbowbarandgrill.com'
'Rally\'s Hamburgers','http://www.rallyshamburgers.com/'
'Ramayani Westwood','http://ramayani.com/'
'Rambutan Thai','http://www.rambutanthai.com/'
'Ramenya','http://www.ramenya-usa.com/'
'Brami\'s Kosher Pizza','http://kosher-pizza.com/'
'Raspado Xpress','http://www.raspadoxpress.com/'
'Raspado Xpress','http://www.raspadoxpress.com/'
'Real Food Daily','http://realfood.com'
'Red Brick Pizza','http://www.redbrickpizza.com/'
'Red Corner Asia','http://www.redcornerasia.com/'
'Zanos Pizza Kitchen','http://zanospizza.net/'
'Red Dragon','http://reddragonkitchen.com/'
'Red Lion Tavern','http://www.redliontavern.net/'
'Red Ribbon BakeShop','http://redribbonbakeshop.us/'
'Red Ribbon BakeShop','http://www.redribbonbakeshop.us/'
'Redwood Bar & Grill','http://www.theredwoodbar.com/'
'Renaissance','http://www.renaissancerestaurant.org/'
'Reno\'s Pizzeria & Restaurant','http://www.renospr.com/'
'24/7 Restaurant','http://www.standardhotels.com/los-angeles/restaurants-bars/24-7-restaurant/'
'24/7 Restaurant','http://www.standardhotels.com/hollywood/restaurants-bars/24-7-restaurant/'
'Restaurant 2117','http://restaurant2117.com/'
'Hama Sushi Restaurant','http://www.hamasushi.com/'
'Kiyono Restaurant','http://www.sushikiyono.com/'
'Restaurant Santa Cecilia','http://www.mariachi-plaza.com/santa-cecilia-rest.htm'
'Revo Cafe','http://www.revocafe.com/'
'Big Pops BBQ & Grill','http://www.bigpopsbbq.com/'
'Rib Ranch Barbeque','http://www.bbqribranch.com/'
'Rice Chinese','http://asakuma-rice.com/'
'Rice Garden','http://www.thericegarden.com/'
'Rio Grande Mexican','http://www.riograndemexican.com/'
'Robbie Mac\'s Pizza','http://robbiemacs.com/'
'Robeks Juice','http://www.robeks.com'
'Robeks Juice','http://newrobeks.com/'
'Robert\'s Cuisine & Grille','http://www.robertsrussiancuisine.com/'
'Robin Hood British Pub &','http://www.robinhoodpub.net'
'Rocco\'s Pizza','http://www.roccospizza.org/'
'Big Mama\'s & Papa\'s Pizzeria','http://www.36pizza.com/'
'Röckenwagner Bakery','http://www.rockenwagner.com/'
'Rodeo Mexican Grill','http://www.rodeomexicangrill.com/'
'Aroma Bar and Grill','http://www.aromabakery.com/losangeles.php'
'Roman\'s Pizza','http://www.losangelesromanspizza.com/'
'Romanov Restaurant and Lounge','http://www.romanovla.com/'
'Roni\'s Diner','http://www.orderronisdinerbeverlyhills.com/'
'Ronnie\'s Diner','http://ronniesdiner.com/'
'Roof Garden at the Peninsula','http://www.peninsula.com/roofgarden'
'Room 5','http://amalfiristorante.com/'
'Ro Ro\'s Chicken','http://roroschicken.com/'
'Rosalind\'s Ethiopian Restaurant','http://rosalindsrestaurant.com/'
'Rose Bakery','http://www.rose-bakery.com/'
'Rose Cafe','http://www.rosecafe.com/'
'Rosie\'s BBQ & Grillery','http://www.rosiesbbq.com/ordereze/default.aspx'
'Rosti Tuscan Kitchen','http://www.rostituscankitchen.com/'
'Round Table Pizza','http://www.roundtablepizza.com/'
'Rubio\'s','http://www.rubios.com/'
'Rubio\'s','http://www.rubios.com/'
'Rubio\'s','http://www.rubios.com/'
'Rubio\'s Fresh Mexican Grill','http://www.rubios.com/'
'Ruby\'s Diner','http://www.rubys.com/'
'Ruby\'s Dinette','http://rubys.com/'
'Rumor Mill','http://www.therumormill.org/'
'SK\'s Donuts & Croissant','http://skdonuts.com/'
'Señor Fish','http://senorfishla.com/'
'Saddle Ranch Chop House','http://www.thesaddleranch.com/'
'Saddle Ranch Chop House','http://www.thesaddleranch.com/sunset.html'
'Best of Mediterranean','http://www.bestofmediterranean.com/'
'Salathai','http://salathairestaurantla.com/'
'Salomi','http://salomiindian.com/'
'Salvatore Pizza & Italian','http://www.salvatoreitalian.com/'
'S & W Country Diner','http://www.swdiner.com/'
'Sammy\'s Thai BBQ','http://www.sammysthai.com/'
'Maddalena Restaurant','http://www.sanantoniowinery.com/restaurant'
'San Francisco Saloon','http://www.sfsaloon.com/'
'SanSai Japanese Grill','http://www.sansaiusa.com/'
'Sandwich Shop','http://www.sandwichshopla.com/'
'SanSai Japanese Grill','http://www.sansaiusa.com/'
'SanSai Japanese Grill','http://www.sansaiusa.com/'
'Sansei','http://sansei.com/'
'Sapori','http://www.sapori-mdr.com/'
'Sasaya','http://www.izakaya-sasaya.com/'
'Seoul','http://seoulrestaurant.citysearch.com.au/'
'Seoul Tofu House','http://www.seoultofuhouseusa.com/'
'Sepi\'s Giant Submarines','http://www.sepiswestwood.com/'
'Sevan Chicken','http://www.sevanchicken.net/'
'Shah Abbas','http://www.shahabbasonline.com/'
'Shalimar Cuisine of India','http://www.shalimardining.com'
'Shamshiri','http://www.shamshirinorthridge.com/'
'Shamshiri Grill','http://www.shamshiri.com/'
'Shanghai Diamond Garden','http://www.shanghaiglattkosher.com/'
'Shanghai Grill','http://www.shanghai90210.com'
'Whiskey Red\'s','http://www.whiskeyreds.com/'
'Shershah Cuisine of India','http://www.shershahcuisineofindia.com/'
'Shiki Sushi','http://www.myshikisushi.com/'
'Shilo\'s Kosher Steakhouse','http://shilosrestaurant.com/'
'Shintaro','http://www.shintarosushi.com/'
'Shiraz','http://shirazrestaurant.net/'
'Shu (Sushi House Unico)','http://giacominodrago.com/'
'Siam Best','http://www.siambestrestaurant.com/'
'Siam Cabin','http://www.siamcabincuisine.com/'
'Siam Chan','http://www.siamchanrestaurant.com/'
'Thai Victory','http://www.thaivictoryrestaurant.com/'
'Siamese Garden','http://www.siamesegarden.net/'
'Sidewalk Cafe','http://www.thesidewalkcafe.com/'
'Silk Thai Cuisine','http://www.silkthaicuisine.com/'
'Silky Smooth Ultra Creamery','http://www.silkysmoothicecream.com/'
'Silver Panda','http://www.silverpandarestaurant.com/'
'Esterel','http://www.esterelrestaurant.com'
'Simon\'s Cafe','http://www.simonscafe.com/'
'Simply Thai','http://simplythailosfeliz.net/'
'Singapore\'s Banana Leaf','http://singaporesbananaleaf.com'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Sizzler','http://www.sizzler.com/'
'Skooby\'s','http://www.skoobys.com/'
'Sky Bar','http://www.mondrianhotel.com/'
'Sky\'s Gourmet Tacos','http://www.skysgourmettacos.com/'
'Skymeals','http://www.skymeals.com/index.html'
'Sofi','http://www.sofisrestaurant.com/'
'Sol Y Luna','http://www.solylunausa.com/'
'Solar de Cahuenga','http://www.solardecahuenga.com/'
'Soleil Westwood','http://www.soleilwestwood.com/home'
'Sultani','http://www.sultanigoodfood.com/'
'Soowon Galbi','http://soowongalbi.net'
'Sor Tino','http://www.sortinorestaurant.com/'
'Sorabol Korean','http://sorabolrestaurants.com/'
'Sorrento Italian Market','http://sorrentoitalianmarket.com/'
'Soup\'s Grill','http://www.soupsgrill.com/'
'Souplantation','http://www.souplantation.com/'
'Souplantation','http://www.souplantation.com/'
'Souplantation','http://www.souplantation.com/'
'Spago','http://www.wolfgangpuck.com/restaurants/fine-dining/3635'
'Spain','http://www.restaurantspain.net'
'Sparta Delicatessen','http://colorikitchen.wordpress.com/'
'Sphinx Cafe','http://www.creativemesa.com/web6.html'
'Spitz','http://www.eatatspitz.com/'
'Sprazzo Cucina Italiana','http://www.sprazzo.net/'
'Spring Street Smoke House','http://www.sssmokehouse.com/'
'Sprinkles Cupcakes','http://www.sprinkles.com/'
'Spumoni','http://www.spumonirestaurants.com/'
'Square One Dining','http://www.squareonedining.com/'
'Sri Siam Café','http://www.srisiamcafe1.com/'
'Stan\'s Corner Donut Shoppe','http://www.stansdoughnuts.com/'
'Stand','http://www.thestandlink.com/'
'Star of India Tandoori Restaurant','http://www.starofindiala.com/'
'Star\'s Drive-in','http://starsdiner.com/Home.html'
'Steak Escape','http://www.steakescape.com/'
'Stefano\'s','http://www.stefanosnewyorkpizza.com/'
'Steve\'s Bigger Subs','http://www.biggersubs.com/'
'The Stinking Rose','http://www.thestinkingrose.com/'
'Stone Oven','http://enjoystoneoven.com/'
'Stonefire Grill','http://www.stonefiregrill.com/'
'Stones','http://www.marriott.com/hotels/hotel-information/restaurant/laxmb-marina-del-rey-marriott/'
'Stox Restaurant & Bakery','http://www.stoxrestaurant.com'
'Subway','http://www.subway.com/'
'Sunnin Lebanese Café','http://www.sunnin.com/'
'Sunset Lounge at the Beverly Hills Hotel','http://beverlyhillshotel.com/'
'Sur Restaurant & Bar','http://www.surrestaurantandbar.com/'
'Sushi Dokoro Ki Ra la','http://www.sushikirala.com/'
'Sushi Gen','http://sushigen.org/'
'Sushi Mashiko','http://www.sushimashikodesu.com/'
'Sushi Roku','http://www.sushiroku.com/sushiroku/index.htm'
'Sushi Sushi','http://sushisushibh.com'
'Susiecakes','http://susiecakesla.com/'
'Susina Bakery','http://www.susinabakery.com/index.shtml'
'Swan','http://www.swanthaifood.com/'
'Sweets Bakery','http://www.bestkabobfactory.com/'
'Swingers','http://www.swingersdiner.com/'
'Swingin Door BBQ','http://www.swingindoorbbq.com/'
'Swork','http://sworkcoffee.com/'
'T.G. Express Thai Restaurant','http://www.tgexpress.net/'
'Jabal Lebnan Mediterranean Kitchen','http://www.bestmediterraneanrestaurants.com/jabal-lebnan-mediterranean-kitchen.html'
'Taco Loco','http://tacoloco.com/'
'Taco Naco','http://tacoloco.com/'
'Taco Plus','http://www.tacoplus.com/'
'Taco Real','http://www.tacoreal.com/'
'Tacos Baja Ensenada','http://tacosbaja.us/'
'Tacone','http://www.tacone.com/'
'Tacone','http://www.tacone.com/'
'Tacos Don Chente','http://www.donchenterestaurant.com/'
'Tacos El Unico','http://www.tacoselunico.com/'
'Tagine Beverly Hills','http://www.taginebeverlyhills.com/'
'Tahoe Galbi','http://www.tahoebbq.com/'
'Taipan','http://www.taipanla.com/'
'Taix','http://www.taixfrench.com/'
'Taj Mahal','http://www.tajmahaldining.com/'
'Takao','http://www.takaobrentwood.com/'
'Take Ten Deli','http://www.taketendeli.com/'
'Takzin Thai','http://www.takzinthai.com/'
'Talesai','http://www.talesairestaurant.com/'
'Talesai','http://talesai.com/'
'The Tam O\'Shanter','http://www.tamoshanter.com/'
'Tamara\'s Tamales','http://tamarastamales.com/'
'Tanino','http://tanino.com/'
'Taqueria Vista Hermosa','http://www.taqueriavistahermosa.com/'
'Tart Restaurant','http://www.tartrestaurant.com/'
'Tarzana Armenian Deli','http://www.tagdeli.com/'
'Taste on Melrose','http://www.ilovetaste.com/'
'Taste of China','http://tasteofchinabedford.blogspot.com/'
'Taste of India','http://www.tasteofindiala.com/'
'Taste of India','http://tasteofindiala.com/'
'Tasty Burgers','http://tastyburgers.amlnk.com/'
'Tasty Goody','http://www.tastygoody.com/'
'Tasty Goody','http://www.tastygoody.com/'
'Tawanna Thai','http://www.tawannathai.com/'
'Taylor\'s Steak House','http://www.taylorssteakhouse.com/'
'Tender Greens','http://www.tendergreensfood.com/'
'Tequila\'s Restaurant Bar & Grill','http://www.tequilasrestaurant.net/'
'Teresitas','http://www.teresitasrestaurant.com/'
'Terrace Cafe and Bar','http://www.theterracecafe.com/'
'Teru Sushi','http://terusushi.com/'
'Thai BBQ','http://originalthaibbq.com/'
'Thai BBQ of Ventura Blvd','http://originalthaibbq.net/'
'Thai Delight','http://www.lathaidelight.com/'
'Thai Dishes','http://www.thaidishesmanchester.com/'
'Thai Eagle Rox','http://www.thaieaglerox.com/'
'Thai Fantasy','http://www.thaifantasy.com/'
'Thai Fresh','http://www.thaifresh.net/'
'Thai House','http://thaihousela.com/'
'Thai Klang Dong','http://thaiklangdong.com/'
'Thai Pepper','http://www.thaipeppersunvalley.com/'
'Thai Spirit','http://thaispiritrestaurant.com/'
'Thai Talay','http://www.thethaitalay.com/'
'Thai Taste','http://www.thai-la.com/'
'Tito\'s Tacos','http://titostacos.com/'
'Toi on Sunset','http://www.toirockinthaifood.com/'
'Tokyo Delve\'s Sushi Bar','http://www.delve-sushibar.com/'
'Tom Bergin\'s Public House','http://www.tombergins.com/'
'Tom\'s Burgers','http://www.myspace.com/tomsburgersmob'
'Tom\'s Jr\'s Burgers','http://www.tomsjunior.com/'
'Tommy\'s Original World Famous Hamburgers','http://www.originaltommys.com/'
'Tommy\'s Original World Famous Hamburgers','http://www.originaltommys.com/'
'Tommy\'s','http://www.originaltommys.com/'
'Tommy\'s Original World Famous Hamburgers','http://www.originaltommys.com/'
'Tommy\'s Original World Famous Hamburgers','http://www.originaltommys.com/'
'Tommy\'s Original World Famous Hamburgers','http://www.originaltommys.com/'
'Tommy\'s Original World Famous Hamburgers','http://originaltommys.com/'
'Tomodachi Sushi','http://www.tomodachisushila.com/'
'Tony Maroni\'s Famous Gourmet','http://tony-maronispizza.com/'
'Tony P\'s Dockside Grill','http://www.tonyps.com/'
'Tony\'s Italian Delicatessen','http://www.tonys-deli.com/'
'Tony\'s Mexican Grill','http://tonysmexicangrill.com/'
'Tortas Mexico','http://www.tortasmexico.com/'
'Tortas Mexico','http://tortasmexico.com/'
'Toscana','http://www.toscanabrentwood.com/'
'Toshi','http://www.toshi-la.com/'
'Tot','http://www.littletokyorestaurant.com/'
'Tous Les Jours Bakery','http://tljus.com/'
'Tower Bar','http://www.sunsettowerhotel.com/'
'Tower Cafe','http://heddinglawfirm.com/'
'Tower Pizza','http://www.towerpizza.com/'
'Trader Vic\'s Mai Tai Lounge','http://www.tradervics.com/maitai-beverlyhills-0.html'
'Trastevere','http://www.trastevereristorante.com'
'Trattoria Amici','http://www.tamici.com/'
'Trattoria Farfalla','http://www.trattoriafarfalla.com/'
'Traxx','http://www.traxxrestaurant.com/'
'Trimana','http://www.trimana.com/menu.html'
'Trimana','http://www.trimana.com/'
'Trimana','http://www.trimana.com/'
'Trimana','http://www.trimana.com/'
'Truxton\'s American Bistro','http://www.truxtonsamericanbistro.com/'
'Tully\'s Coffee','http://www.tullyscoffeeshops.com/'
'Twin Dragon','http://picotwindragon.com/'
'Two Guys From Italy','http://twoguysgranadahills.com'
'U-Zen','http://www.japaneserestaurantinfo.com/uzen/'
'Ugo - An Italian Cafe','http://www.cafeugo.com/'
'Ulysses Voyage','http://www.ulyssesvoyage.com/'
'Umai Sushi','http://www.101sushi.com/'
'Uncle Darrow\'s Cajun Creole Eatery','http://www.uncledarrows.com/'
'Uncle Ernie\'s Pizza 4-U','http://hstrial-uncleerniespizza.intuitwebsites.com/'
'Uncle John\'s Cafe','http://www.ujcafe.com/'
'Uncle Robby\'s','http://www.juangreatfiesta.com/'
'Universal Plaza Subway','http://www.subway.com/'
'Upstairs 2','http://upstairs2.com/'
'Urth Caffé','http://www.urthcaffe.com/'
'Urth Caffé','http://www.urthcaffe.com/'
'Valentino\'s Pizza','http://valentinosnewyorkpizza.com/'
'Valentino\'s','http://www.valentinosdiner.com/'
'Valley Inn Restaurant and Bar','http://www.valleyinnrestaurantandbar.com/'
'Vegan Glory','http://www.veganglory.com/'
'Vegan Joint','http://www.theveganjoint.com/'
'Vegin\' Out','http://www.veginout.com/'
'Velvet Margarita Cantina','http://www.velvetmargarita.com/'
'Venice Whaler Bar and Grill','http://www.venicewhaler.com/'
'Ventura Chicken & Kabob','http://artssubs.com/'
'Versailles','http://www.versaillescuban.com/'
'Versailles','http://www.versaillescuban.com'
'Versailles','http://www.versaillescuban.com/'
'Vibrato Grill Jazz ... etc.','http://www.vibratogrilljazz.com/'
'Victor Jr\'s','http://www.victorjrs.com/'
'Victorio\'s Ristorante','http://www.victoriosonline.com/'
'Vienna Cafe','http://viennacafe.com/'
'Viktor Benes Continental Bakery','http://www.viktorbenes.com/'
'Villa','http://www.thevillawoodlandhills.com/'
'Village Idiot','http://www.villageidiotla.com/'
'Village Pizzeria','http://www.villagepizzeria.net/'
'Village Tandoor','http://villagetandoorcuisine.com/'
'Vincenti Ristorante','http://vincentiristorante.com/'
'Vincenzo\'s Pizza','http://www.vincenzos-pizza.com/'
'Vinh Loi Tofu','http://www.vinhloitofu.com/'
'Vinny\'s Pizza','http://www.myspace.com/vinnyspizzala'
'Vinoteca Farfalla','http://www.vinotecafarfalla.com/'
'Vip Chinese','http://www.vipchinesela.com/'
'Vitello\'s Osteria','http://www.vitellosrestaurant.com/'
'Viva Fresh Mexican Grill','http://www.citycheers.com/fmi/xsl/citycheers/templates/one/index.xsl?id=6623'
'Viva la Vida Mariscos','http://www.vivalavidamariscos.com/'
'Vivoli Cafe & Trattoria','http://www.vivolicafe.com/'
'Wabi-Sabi','http://www.wabisabisushi.com/'
'Wacky Wok','http://www.wacky-wok.com/'
'Wall Street Deli','http://www.wallstreetdeli.com/'
'Warehouse','http://www.mdrwarehouse.com/'
'Water Grill','http://www.watergrill.com/'
'Weiler\'s','http://www.weilersdeli.com/'
'Weiler\'s Delicatessen','http://www.franksweilersdeli.com/'
'Weiler\'s','http://www.weilerswarnerdeli.com/'
'West Restaurant and Lounge','http://www.westrestaurantla.com/'
'West Hills','http://www.trioshairsalon.com/'
'Westwood Thai Cafe','http://www.westwoodthaicafe.com/location.php'
'Wetzel\'s Pretzels','http://www.wetzels.com/'
'Wetzel\'s Pretzels','http://www.wetzels.com/'
'The Cafe','http://www.wetzels.com/'
'Wetzel\'s Pretzels','http://www.wetzels.com/'
'Wharo Korean BBQ','http://www.wharo.com/'
'Whisper Lounge','http://www.whisperloungela.com/'
'Wi Jammin Caribbean','http://www.wijammincafe.com/'
'Winchell\'s Donut House','http://www.yumyumdonuts.com/'
'Winchell\'s Donut House','http://winchells.com/'
'Winchell\'s Donut House','http://www.winchells.com/'
'Winchell\'s Donut House','http://www.winchells.com/'
'Winchell\'s Donut House','http://winchells.com/'
'Wirin Thai','http://www.digplaces.blogspot.com/'
'Wokcano','http://www.wokcanocafe.com/'
'Wok & Roll China','http://www.lawoknroll.com/'
'Wok on Fire','http://www.wokonfirela.com/'
'Wolfgang Puck L.A. Bistro','http://www.wolfgangpuck.com/restaurants/casual-dining/wolfgang-puck-bistros/7568/section-overview'
'Wonderful House Chinese','http://www.wonderfulhousetogo.com/'
'Wong\'s Cuisine','http://www.boraan.com/'
'Wong\'s Kitchen','http://wongskitchen.com/'
'Xi\'an','http://www.xian90210.com/'
'Xiomara on Melrose','http://www.xiomararestaurant.com/'
'Yabu','http://yaburestaurant.com'
'Yabu','http://yaburestaurant.com'
'Yamashiro Hollywood','http://www.yamashirohollywood.com/'
'Yanagi Sushi','http://www.myyanagisushi.com/'
'Yang Chow','http://www.yangchow.com/'
'Yatsuhashi','http://www.izakayafu-ga.com/'
'Yekta','http://yektarestaurant.net/'
'Yokohama','http://yokohama-la.com/'
'Yongsusan','http://www.yongsusan.co.kr/en/main/main.htm'
'Yorkshire Grill','http://www.yorkshiregrillla.com/'
'Yoshi\'s Sushi','http://www.yoshissushi.com/index.htm'
'Yoshinoya Beef Bowl','http://yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://yoshinoyausa.com/'
'Yoshinoya','http://www.yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://www.yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://www.yoshinoyausa.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://www.yoshinoya.com/'
'Yoshinoya Beef Bowl','http://yoshinoyaamerica.com/'
'Yoshinoya Beef Bowl','http://www.yoshinoya-dc.com/'
'Yuca\'s','http://www.yucasla.com/'
'Yum Yum Donuts','http://www.yumyumdonuts.com/'
'Winchell\'s Donut House','http://www.winchells.com/'
'Yum Yum Donuts','http://www.yumyumdonuts.com/'
'Yum Yum Donuts','http://www.winchells.com'
'Yum Yum Donuts','http://www.yumyumdonuts.com'
'Zankou Chicken','http://www.zankouchicken.com/'
'Zankou Chicken','http://www.zankouchicken.com/'
'Zankou Chicken','http://www.zankouchicken.com/'
'Zelda\'s Corner','http://www.zeldascorner.com/'
'Zen Buffet','http://zen-buffet.com/'
'Zip Fusion','http://www.zipfusion.com/'
'Casey\'s Irish Bar & Grill','http://www.caseysirishpub.com/'
'Santouka Ramen','http://santouka.co.jp/en'
'Elf Cafe','http://elfcafe.com/'
'Sakos Mediterranean Cuisine','http://www.sakosmediterraneancuisine.com/'
'Rahel Ethiopian Vegan Cuisine','http://www.rahelveggiecuisine.com/'
'Lum-Ka-Naad','http://www.lumkanaad.com/'
'Duna Csarda','http://www.csardasrestaurant.com'
'Kansas City BBQ Company','http://www.thekansascitybbqcompany.com/'
'Cairo Cowboy','http://www.cairocowboy.com/'
'House of Taka','http://sushitaka.com/'
'Koda Sushi','http://www.kodasushisilverlake.com'
'Pazzo Gelato','http://www.pazzogelato.net/'
'Bella Pita','http://bellapita.com/'
'KyoChon','http://kyochonus.com/'
'Lal Mirch Indian Restaurant','http://www.lmdining.com/'
'Gyu-Kaku Japanese BBQ Dining','http://www.gyu-kaku.com/'
'Bar Hayama','http://www.bar-hayama.com/'
'Cafe Bella Roma','http://htpp.trattoriabellaroma.com/'
'Coupa Cafe','http://www.coupacafe.com/'
'Fresh Corn Grill','http://www.freshcorngrill.com/'
'Continental Kosher Bakery','http://www.continentalbakery.net/'
'Mr. Noodle','http://www.misternoodle.com'
'The York','http://www.theyorkonyork.com/'
'Spice Restaurant','http://spiceonhollywood.webs.com/'
'Essential Chocolate Desserts','http://www.essentialchocolate.com/'
'Ebisu Japanese Tavern','http://www.ebisu-la.com/'
'Takami Sushi & Robata','http://www.takamisushi.com/'
'Tamon','http://www.tamon-ten.com/'
'Craft','http://www.craftrestaurant.com/craft_losangeles_style.html'
'Crispy Crust','http://www.crispycrust.com/'
'Osteria Mozza','http://www.osteriamozza.com/'
'Comme Ça','http://www.commecarestaurant.com/'
'Angelino Pizzeria Express','http://angelinopizzeria.com/'
'Los Angeles Pizza Company','http://www.losangelespizzacompany.com/'
'Terroni','http://terroni.ca'
'Tenno Sushi','http://www.tennosushi.com/'
'Viet Noodle Bar','http://vietnoodlebar.la/'
'Busby\'s','http://www.busbysla.com/'
'Tinto Tapas','http://www.tintotapas.com/'
'Happy Ending Bar','http://www.thehappyendingbar.com/'
'Yamato Westwood','http://www.yamatokura.com/'
'Coffee Table Bistro','http://www.coffeetablebistro.com/'
'Vito\'s Pizza','http://www.vitopizza.com/'
